Headline,label
 It altered my entire worldview   Leading authors pick eight nonfiction books to change your mind,0
California  Back to back storms drop deluge of rain and snow with more ahead,-1
Ask Philippa  I hate my ageing body  Why do I look at myself with disgust ,-1
 A search for ourselves   Shipwreck becomes focus of slavery debate,-1
Europe  Record high temperatures leave Alps without snow,0
In brief  A Writer s Diary  The Race Against Time  Price Wars   reviews,-1
The writing s on the wall for the paper check   but I m still going to miss it,0
Tennis  United Cup glory primes US stars as major threats for Australian Open,1
Brazil   Bolsonaro supporters storm political buildings,1
 It s going to be dirty  Republicans gear up to attack Hunter Biden,-1
Naomi Osaka  Concerns mount as former No   withdraws from Australian Open,-1
If Harry sounds callous about killing  he is  All of us who served were   at least he knows why,-1
An art treasure long cherished by Muslims is deemed offensive  But to whom ,0
Tesla  Musk seeks to move trial out of San Francisco  claiming he can t get fair trial,1
House speaker McCarthy clinches gavel at   th attempt,0
Seattle  Public schools sue social media platforms for youth  mental health crisis ,-1
 Touched by the welcome   Messi given guard of honour on PSG return,1
Man City     Chelsea  Mahrez stunner sparks FA Cup cruise against pitiful Blues,-1
 I own multiple vacuum cleaners   he litters indoors   What happened when four writers swapped chores with their partners ,0
 Profoundly troubling   Harvard Kennedy School condemned for denying fellowship to Israel critic,-1
Sri Lanka  Hedge funds holding up vital debt relief for crisis hit country  warn economists,-1
A day at the beach   Quicksand had never felt real as a concept until this moment ,0
Iran  Regime condemned for executing two men over alleged protest crimes,-1
Skiing  Shiffrin ties Vonn s World Cup record with   nd career win,1
Margaret Cho   I was never in doubt that I d do standup ,1
 Feeling betrayed   The reaction in George Santos s district to brazen lies,-1
Abortion  The US government just took two big steps  Will they matter ,0
Immigration  Biden tells migrants not to  show up at the border  in new policy announcement,0
Brazil Bolsonaro supporters storm presidential palace,1
The Shards by Bret Easton Ellis review  An inspired fever dream of a book,1
 A landmark step   How pioneering foetal surgery is transforming lives,0
Rising MMA star Victoria  The Prodigy  Lee dies at age of   ,0
US politics  McCarthy takes vote losses to six as US House of Representatives adjourns again,-1
Environment  Biden administration seeks to limit deadly air pollution,0
Reaction US lawmakers call for Bolsonaro extradition,0
Louisiana   Officer arrested after car crash kills two innocent teenagers during police chase,-1
Boxing  Davis stops Garcia in eight to retain WBA lightweight title,0
Putin  President attends Orthodox Christmas service alone,0
Texas  Search for vigilante who fatally shot robbery suspect carrying fake gun,-1
 It s going to be dirty   Republicans gear up for attack on Hunter Biden,-1
Harry  The Interview review   so horribly sad it could have turned the Queen anti monarchy,-1
Palette styles new do not delete,0
US coronavirus data,0
